signal_id,vendor_id,vendor_name,date,source_type,source_name,url,text,provenance,risk_category,sentiment,maturity,classifier_confidence,is_about_vendor,classifier_reason,service,country,ubs_link,ubs_link_source,relationship_note,data_sensitivity,business_criticality,substitutability,dependency_index,credibility,maturity_weight,freshness,corroboration,n_sources,evidence_strength,likelihood,impact,inherent_risk,control_reduction,n_positive,residual_risk,maturity_cap,link_cap,tier,needs_human_review,tier_before_caps,explanation
I0107,V004,Broadridge Financial Solutions,2026-05-18,vendor_questionnaire,vendor_questionnaire,,Broadridge Financial Solutions sub-contracts part of core delivery to a single fourth-party operating from one region.,ILLUSTRATIVE,CONCENTRATION,risk,confirmed,1.0,True,Single fourth-party dependency for core delivery introduces concentration risk due to sole sourcing and geographic limitation.,Wealth platform & post-trade,USA,CONFIRMED,https://www.broadridge.com/press-release/2018/broadridge-and-ubs-americas-to-redefine-wm-technology,UBS Wealth Management USA anchor client; UBS also live on Broadridge DLR repo.,5,4,2,0.867,0.55,1.0,0.818,0.0,1,0.642,3.1,4.0,12.4,0.0,0,12.4,False,False,High,True,High,"HIGH (12.4/25, L3.1 x I4.0); CONCENTRATION signal, confirmed, from vendor questionnaire (credibility 0.55); 1 independent kind(s) of source in 365d; 127d old (freshness 0.82); UBS link: confirmed (UBS Wealth Management USA anchor client; UBS also live on Broadridge DLR repo); hard to replace (substitutability 2/5); ILLUSTRATIVE evidence (demo data, not a public source); classifier: Single fourth-party dependency for core delivery introduces concentration risk due to sole sourcing and geographic limitation."
I0080,V001,Chain IQ Group AG,2025-12-19,audit_finding,audit_finding,,Contract review found the Chain IQ Group AG engagement lacks documented evidence of data-residency controls agreed in the schedule.,ILLUSTRATIVE,COMPLIANCE,risk,corroborated,0.98,True,"Audit finding indicates missing documented evidence for agreed data-residency controls, which is a compliance deficiency.",Sourcing & procurement BPO,Switzerland,CONFIRMED,https://www.ubs.com/global/en/our-firm/suppliers/governance.html,Named by UBS as its strategic sourcing partner; spun off from UBS in 2013.,5,4,2,0.867,0.95,0.85,0.652,0.0,1,0.734,2.92,4.75,13.87,0.111,3,12.33,False,False,High,True,High,"HIGH (12.3/25, L2.9 x I4.8); COMPLIANCE signal, corroborated, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 277d old (freshness 0.65); UBS link: confirmed (Named by UBS as its strategic sourcing partner; spun off from UBS in 2013); data sensitivity 5/5; 3 positive signal(s) cut risk by 11%; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Audit finding indicates missing documented evidence for agreed data-residency controls, which is a compliance deficiency."
R0038,V001,Chain IQ Group AG,2025-06-18,news_article,Infosecurity Magazine,https://www.infosecurity-magazine.com/news/ubs-employee-data-exposed-third/,"The data stolen from Chain IQ Group AG included UBS employee business contact details, phone numbers, job roles and office locations. The direct phone number of UBS chief executive Sergio Ermotti was reportedly among the published records.",REAL,CYBER,risk,confirmed,0.98,True,"Confirmed data breach involving sensitive UBS employee and executive contact information, indicating a significant cybersecurity risk exposure.",Sourcing & procurement BPO,Switzerland,CONFIRMED,https://www.ubs.com/global/en/our-firm/suppliers/governance.html,Named by UBS as its strategic sourcing partner; spun off from UBS in 2013.,5,4,2,0.867,0.75,1.0,0.504,0.0,1,0.71,2.43,5.0,12.15,0.0,0,12.15,False,False,High,True,High,"HIGH (12.2/25, L2.4 x I5.0); CYBER signal, confirmed, from news article (credibility 0.75); 1 independent kind(s) of source in 365d; 461d old (freshness 0.50); UBS link: confirmed (Named by UBS as its strategic sourcing partner; spun off from UBS in 2013); data sensitivity 5/5; classifier: Confirmed data breach involving sensitive UBS employee and executive contact information, indicating a significant cybersecurity risk exposure."
R0037,V001,Chain IQ Group AG,2025-06-18,news_article,Infosecurity Magazine,https://www.infosecurity-magazine.com/news/ubs-employee-data-exposed-third/,"UBS confirmed that data on around 130,000 UBS employees was published on the dark web following the ransomware attack on its supplier Chain IQ Group AG. UBS stated that no client data was affected.",REAL,CYBER,risk,confirmed,0.99,True,"Confirmed ransomware attack on vendor Chain IQ Group AG leading to exposure of UBS employee data on the dark web, indicating a cybersecurity risk.",Sourcing & procurement BPO,Switzerland,CONFIRMED,https://www.ubs.com/global/en/our-firm/suppliers/governance.html,Named by UBS as its strategic sourcing partner; spun off from UBS in 2013.,5,4,2,0.867,0.75,1.0,0.504,0.0,1,0.711,2.43,5.0,12.15,0.0,0,12.15,False,False,High,True,High,"HIGH (12.2/25, L2.4 x I5.0); CYBER signal, confirmed, from news article (credibility 0.75); 1 independent kind(s) of source in 365d; 461d old (freshness 0.50); UBS link: confirmed (Named by UBS as its strategic sourcing partner; spun off from UBS in 2013); data sensitivity 5/5; classifier: Confirmed ransomware attack on vendor Chain IQ Group AG leading to exposure of UBS employee data on the dark web, indicating a cybersecurity risk."
R0040,V001,Chain IQ Group AG,2025-06-20,news_article,SecurityWeek,https://www.securityweek.com/chain-iq-ubs-data-stolen-in-ransomware-attack/,"Swiss private bank Pictet confirmed it had suffered a data breach as a result of the attack on Chain IQ Group AG, saying the stolen information was limited to invoice data with suppliers and did not include client data.",REAL,CYBER,risk,confirmed,0.98,True,"Confirmed data breach at Chain IQ Group AG with direct impact on a client (Pictet), though limited to supplier invoice data and not client data. Still a cybersecurity incident indicating risk exposure.",Sourcing & procurement BPO,Switzerland,CONFIRMED,https://www.ubs.com/global/en/our-firm/suppliers/governance.html,Named by UBS as its strategic sourcing partner; spun off from UBS in 2013.,5,4,2,0.867,0.75,1.0,0.506,0.0,1,0.71,2.43,5.0,12.15,0.0,0,12.15,False,False,High,True,High,"HIGH (12.2/25, L2.4 x I5.0); CYBER signal, confirmed, from news article (credibility 0.75); 1 independent kind(s) of source in 365d; 459d old (freshness 0.51); UBS link: confirmed (Named by UBS as its strategic sourcing partner; spun off from UBS in 2013); data sensitivity 5/5; classifier: Confirmed data breach at Chain IQ Group AG with direct impact on a client (Pictet), though limited to supplier invoice data and not client data. Still a cybersecurity incident indicating risk exposure."
R0035,V001,Chain IQ Group AG,2025-06-11,news_article,SecurityWeek,https://www.securityweek.com/chain-iq-ubs-data-stolen-in-ransomware-attack/,"The ransomware group World Leaks added Chain IQ Group AG to its leak site, claiming the theft of roughly 910 GB of data amounting to more than 1.9 million files.",REAL,CYBER,risk,confirmed,0.98,True,"Ransomware group claimed data theft from Chain IQ Group AG, indicating a confirmed cybersecurity incident with potential exposure of sensitive data.",Sourcing & procurement BPO,Switzerland,CONFIRMED,https://www.ubs.com/global/en/our-firm/suppliers/governance.html,Named by UBS as its strategic sourcing partner; spun off from UBS in 2013.,5,4,2,0.867,0.75,1.0,0.499,0.0,1,0.71,2.42,5.0,12.1,0.0,0,12.1,False,False,High,True,High,"HIGH (12.1/25, L2.4 x I5.0); CYBER signal, confirmed, from news article (credibility 0.75); 1 independent kind(s) of source in 365d; 468d old (freshness 0.50); UBS link: confirmed (Named by UBS as its strategic sourcing partner; spun off from UBS in 2013); data sensitivity 5/5; classifier: Ransomware group claimed data theft from Chain IQ Group AG, indicating a confirmed cybersecurity incident with potential exposure of sensitive data."
I0105,V003,LSEG,2025-10-08,audit_finding,audit_finding,,"Assessment records LSEG as the sole source for this service line, with no viable alternative provider identified.",ILLUSTRATIVE,CONCENTRATION,risk,confirmed,1.0,True,"The finding explicitly states LSEG is the sole source for the service line with no viable alternative provider, indicating a critical concentration risk.",Market data & analytics,UK,CONFIRMED,https://www.lseg.com/en/media-centre/press-releases/2025/ubs-lseg-announce-long-term-strategic-partnership,Multi-year data and analytics partnership announced July 2025.,3,5,2,0.8,0.95,1.0,0.588,0.0,1,0.782,2.84,4.25,12.07,0.0,0,12.07,False,False,High,True,High,"HIGH (12.1/25, L2.8 x I4.2); CONCENTRATION signal, confirmed, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 349d old (freshness 0.59); UBS link: confirmed (Multi-year data and analytics partnership announced July 2025); hard to replace (substitutability 2/5); ILLUSTRATIVE evidence (demo data, not a public source); classifier: The finding explicitly states LSEG is the sole source for the service line with no viable alternative provider, indicating a critical concentration risk."
I0104,V003,LSEG,2026-03-10,audit_finding,audit_finding,,Contract review found the LSEG engagement lacks documented evidence of data-residency controls agreed in the schedule.,ILLUSTRATIVE,COMPLIANCE,risk,corroborated,0.98,True,"Audit finding indicates missing documented evidence for agreed data-residency controls, which is a compliance gap.",Market data & analytics,UK,CONFIRMED,https://www.lseg.com/en/media-centre/press-releases/2025/ubs-lseg-announce-long-term-strategic-partnership,Multi-year data and analytics partnership announced July 2025.,3,5,2,0.8,0.95,0.85,0.736,0.0,1,0.734,3.16,4.5,14.22,0.17,3,11.8,False,False,High,True,High,"HIGH (11.8/25, L3.2 x I4.5); COMPLIANCE signal, corroborated, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 196d old (freshness 0.74); UBS link: confirmed (Multi-year data and analytics partnership announced July 2025); data sensitivity 3/5; 3 positive signal(s) cut risk by 17%; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Audit finding indicates missing documented evidence for agreed data-residency controls, which is a compliance gap."
R0041,V001,Chain IQ Group AG,2025-06-24,news_article,SecurityWeek,https://www.securityweek.com/chain-iq-ubs-data-stolen-in-ransomware-attack/,"The group behind the Chain IQ Group AG attack, World Leaks, was previously known as Hunters International and operates a data-extortion leak site.",REAL,CYBER,risk,corroborated,0.98,True,"The text explicitly links Chain IQ Group AG to a cyberattack by a known ransomware group (World Leaks, formerly Hunters International), indicating a confirmed cybersecurity incident with data extortion risks.",Sourcing & procurement BPO,Switzerland,CONFIRMED,https://www.ubs.com/global/en/our-firm/suppliers/governance.html,Named by UBS as its strategic sourcing partner; spun off from UBS in 2013.,5,4,2,0.867,0.75,0.85,0.508,0.0,1,0.664,2.35,5.0,11.75,0.0,0,11.75,False,False,High,True,High,"HIGH (11.8/25, L2.4 x I5.0); CYBER signal, corroborated, from news article (credibility 0.75); 1 independent kind(s) of source in 365d; 455d old (freshness 0.51); UBS link: confirmed (Named by UBS as its strategic sourcing partner; spun off from UBS in 2013); data sensitivity 5/5; classifier: The text explicitly links Chain IQ Group AG to a cyberattack by a known ransomware group (World Leaks, formerly Hunters International), indicating a confirmed cybersecurity incident with data extortion risks."
I0149,V007,SIX Group,2026-01-17,audit_finding,audit_finding,,"Assessment records SIX Group as the sole source for this service line, with no viable alternative provider identified.",ILLUSTRATIVE,CONCENTRATION,risk,confirmed,1.0,True,"Explicit statement of sole source with no alternative provider identified, indicating high concentration risk.",Digital asset issuance venue,Switzerland,CONFIRMED,https://www.sdx.com/,UBS among issuers on the SIX Digital Exchange platform.,3,3,2,0.667,0.95,1.0,0.681,0.0,1,0.782,3.13,3.75,11.74,0.0,0,11.74,False,False,High,True,High,"HIGH (11.7/25, L3.1 x I3.8); CONCENTRATION signal, confirmed, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 248d old (freshness 0.68); UBS link: confirmed (UBS among issuers on the SIX Digital Exchange platform); hard to replace (substitutability 2/5); ILLUSTRATIVE evidence (demo data, not a public source); classifier: Explicit statement of sole source with no alternative provider identified, indicating high concentration risk."
I0118,V005,Cognizant Technology Solutions,2025-05-10,audit_finding,audit_finding,,Control review of the Cognizant Technology Solutions engagement found MFA not enforced for administrator accounts on the shared environment.,ILLUSTRATIVE,CYBER,risk,confirmed,0.98,True,"Audit finding confirms lack of MFA enforcement for admin accounts, indicating a cybersecurity control deficiency.",IT & business process outsourcing,USA,CONFIRMED,https://news.cognizant.com/newsannouncements?item=20231,Acquired UBS India Service Centre in 2009; UBS later insourced and exited.,4,3,4,0.6,0.95,1.0,0.479,0.0,1,0.78,2.49,4.75,11.83,0.017,1,11.63,False,False,High,True,High,"HIGH (11.6/25, L2.5 x I4.8); CYBER signal, confirmed, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 500d old (freshness 0.48); UBS link: confirmed (Acquired UBS India Service Centre in 2009; UBS later insourced and exited); data sensitivity 4/5; 1 positive signal(s) cut risk by 2%; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Audit finding confirms lack of MFA enforcement for admin accounts, indicating a cybersecurity control deficiency."
I0103,V003,LSEG,2025-06-21,incident_ticket,incident_ticket,,Phishing simulation across the LSEG engagement showed click rates above the agreed threshold.,ILLUSTRATIVE,CYBER,risk,corroborated,1.0,True,Phishing simulation results indicating click rates above agreed thresholds represent a cybersecurity risk exposure for LSEG.,Market data & analytics,UK,CONFIRMED,https://www.lseg.com/en/media-centre/press-releases/2025/ubs-lseg-announce-long-term-strategic-partnership,Multi-year data and analytics partnership announced July 2025.,3,5,2,0.8,0.85,0.85,0.506,0.0,1,0.702,2.42,5.0,12.1,0.048,2,11.52,False,False,High,True,High,"HIGH (11.5/25, L2.4 x I5.0); CYBER signal, corroborated, from incident ticket (credibility 0.85); 1 independent kind(s) of source in 365d; 458d old (freshness 0.51); UBS link: confirmed (Multi-year data and analytics partnership announced July 2025); data sensitivity 3/5; 2 positive signal(s) cut risk by 5%; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Phishing simulation results indicating click rates above agreed thresholds represent a cybersecurity risk exposure for LSEG."
R0073,V003,LSEG,2025-07-22,regulatory_filing,LSEG press release,https://www.lseg.com/en/media-centre/press-releases/2025/ubs-lseg-announce-long-term-strategic-partnership,"UBS and LSEG announced a multi-year partnership in which UBS adopts the full LSEG suite across asset classes and the trade lifecycle, consolidating market data onto a single provider.",REAL,CONCENTRATION,risk,confirmed,0.98,True,"Consolidation onto a single provider (LSEG) for market data across asset classes and the trade lifecycle indicates sole-source dependency, increasing concentration risk.",Market data & analytics,UK,CONFIRMED,https://www.lseg.com/en/media-centre/press-releases/2025/ubs-lseg-announce-long-term-strategic-partnership,Multi-year data and analytics partnership announced July 2025.,3,5,2,0.8,1.0,1.0,0.528,0.0,1,0.797,2.68,4.25,11.39,0.0,0,11.39,False,False,High,True,High,"HIGH (11.4/25, L2.7 x I4.2); CONCENTRATION signal, confirmed, from regulatory filing (credibility 1.00); 1 independent kind(s) of source in 365d; 427d old (freshness 0.53); UBS link: confirmed (Multi-year data and analytics partnership announced July 2025); hard to replace (substitutability 2/5); classifier: Consolidation onto a single provider (LSEG) for market data across asset classes and the trade lifecycle indicates sole-source dependency, increasing concentration risk."
I0160,V008,ION Group,2026-05-21,audit_finding,audit_finding,,Contract review found the ION Group engagement lacks documented evidence of data-residency controls agreed in the schedule.,ILLUSTRATIVE,COMPLIANCE,risk,confirmed,0.98,True,"Audit finding confirms lack of documented evidence for agreed data-residency controls, indicating a compliance gap.",Trading & derivatives software,UK,INDUSTRY,,Major trading-software provider to banks. No UBS relationship claimed.,4,5,1,0.933,0.95,1.0,0.822,0.0,1,0.78,3.56,3.09,11.0,0.0,0,11.0,False,False,High,True,High,"HIGH (11.0/25, L3.6 x I3.1); COMPLIANCE signal, confirmed, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 124d old (freshness 0.82); UBS link: industry (Major trading-software provider to banks. No UBS relationship claimed); data sensitivity 4/5; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Audit finding confirms lack of documented evidence for agreed data-residency controls, indicating a compliance gap."
I0090,V002,Microsoft Corporation,2025-04-04,audit_finding,audit_finding,,Exit plan tested for Microsoft Corporation; a second source was onboarded for 30% of volume.,ILLUSTRATIVE,CONCENTRATION,risk,confirmed,1.0,True,"Exit plan testing revealed sole-source dependency for Microsoft Corporation, mitigated by onboarding a second source for 30% of volume, indicating reduced but still present concentration risk.",Cloud infrastructure & productivity,USA,CONFIRMED,https://www.ubs.com/global/en/media/display-page-ndp/en-20221020-cloud-partnership.html,"UBS named Azure its primary cloud; >50% of applications targeted, incl. critical workloads.",5,5,1,1.0,0.95,1.0,0.457,0.0,1,0.782,2.43,4.5,10.94,0.0,0,10.94,False,False,High,True,High,"HIGH (10.9/25, L2.4 x I4.5); CONCENTRATION signal, confirmed, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 536d old (freshness 0.46); UBS link: confirmed (UBS named Azure its primary cloud; >50% of applications targeted, incl. critical workloads); hard to replace (substitutability 1/5); ILLUSTRATIVE evidence (demo data, not a public source); classifier: Exit plan testing revealed sole-source dependency for Microsoft Corporation, mitigated by onboarding a second source for 30% of volume, indicating reduced but still present concentration risk."
